win,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,tower_kills_team_1,inhibitor_kills_team_1,baron_kills_team_1,dragon_kills_team_1,vilemaw_kills_team_1,rift_herald_kills_team_1,tower_kills_team_2,inhibitor_kills_team_2,baron_kills_team_2,dragon_kills_team_2,vilemaw_kills_team_2,rift_herald_kills_team_2,kills_top_team_1,assists_top_team_1,deaths_top_team_1,gold_earned_20m_top_team_1,cs_20m_top_team_1,xp_20m_top_team_1,damege_taken_20m_top_team_1,kills_middle_team_1,assists_middle_team_1,deaths_middle_team_1,gold_earned_20m_middle_team_1,cs_20m_middle_team_1,xp_20m_middle_team_1,damege_taken_20m_middle_team_1,kills_jungle_team_1,assists_jungle_team_1,deaths_jungle_team_1,gold_earned_20m_jungle_team_1,cs_20m_jungle_team_1,xp_20m_jungle_team_1,damege_taken_20m_jungle_team_1,kills_bottom_duo_support_team_1,assists_bottom_duo_support_team_1,deaths_bottom_duo_support_team_1,gold_earned_20m_bottom_duo_support_team_1,cs_20m_bottom_duo_support_team_1,xp_20m_bottom_duo_support_team_1,damege_taken_20m_bottom_duo_support_team_1,kills_bottom_duo_carry_team_1,assists_bottom_duo_carry_team_1,deaths_bottom_duo_carry_team_1,gold_earned_20m_bottom_duo_carry_team_1,cs_20m_bottom_duo_carry_team_1,xp_20m_bottom_duo_carry_team_1,damege_taken_20m_bottom_duo_carry_team_1,kills_top_team_2,assists_top_team_2,deaths_top_team_2,gold_earned_20m_top_team_2,cs_20m_top_team_2,xp_20m_top_team_2,damege_taken_20m_top_team_2,kills_middle_team_2,assists_middle_team_2,deaths_middle_team_2,gold_earned_20m_middle_team_2,cs_20m_middle_team_2,xp_20m_middle_team_2,damege_taken_20m_middle_team_2,kills_jungle_team_2,assists_jungle_team_2,deaths_jungle_team_2,gold_earned_20m_jungle_team_2,cs_20m_jungle_team_2,xp_20m_jungle_team_2,damege_taken_20m_jungle_team_2,kills_bottom_duo_support_team_2,assists_bottom_duo_support_team_2,deaths_bottom_duo_support_team_2,gold_earned_20m_bottom_duo_support_team_2,cs_20m_bottom_duo_support_team_2,xp_20m_bottom_duo_support_team_2,damege_taken_20m_bottom_duo_support_team_2,kills_bottom_duo_carry_team_2,assists_bottom_duo_carry_team_2,deaths_bottom_duo_carry_team_2,gold_earned_20m_bottom_duo_carry_team_2,cs_20m_bottom_duo_carry_team_2,xp_20m_bottom_duo_carry_team_2,damege_taken_20m_bottom_duo_carry_team_2
1,1,0,2,1,1,2,11,2,2,4,0,0,8,2,0,1,0,1,6,12,5,345,8.6,503.2,1048.3,4,10,7,375.9,8,563.3,703.8,10,14,8,490.3,1.2,516.4,755.2,4,16,2,333.6,0.4,372.9,130.8,13,7,3,498.5,9.3,449.5,290.1,3,3,8,601,9.5,707,890.9,5,8,7,501.1,7.1,474.6,705.6,8,10,8,450.3,1.6,519.6,1263.4,5,7,9,303.4,2.5,289.1,246.7,4,7,5,403.6,9.7,519.8,466.1
1,1,2,1,1,1,1,10,3,1,4,0,2,2,0,0,0,0,0,2,2,7,349,6.1,447.4,1208.8,3,5,5,417.2,6.8,497.8,882.6,3,11,5,422.5,1.6,464.5,983.1,4,13,5,371.6,1.4,422.4,414.2,13,6,3,635.7,8.2,593.1,463.7,8,5,5,566.6,5.3,623.1,1435.4,7,9,7,563.2,9.6,753,425.2,1,1,0,132.4,0,0,0,1,6,5,204.8,0.7,241.2,402.9,8,6,8,367.1,8,508.6,850.1
2,2,2,2,2,1,1,4,0,1,3,0,2,8,3,2,4,0,0,12,5,11,340.4,5.7,471.6,971.3,10,8,14,419.8,6.5,429.1,1290.2,8,9,11,368.9,2.7,459,1008.7,3,24,5,313.9,1.7,374.2,387.8,13,13,9,587.7,8,564.9,633.7,16,13,6,390.1,5.8,575.2,791.7,20,8,8,678,9.7,643.9,1113.9,4,14,13,363.6,1.1,450.9,957.5,2,23,6,288.6,0.9,298.3,468,8,11,13,337.7,4.1,342.6,636.8
1,1,0,1,1,1,0,9,2,1,2,0,0,1,0,0,0,0,0,5,12,2,530,6.2,487.1,548.5,7,15,2,454,7.1,537.5,572.9,9,12,4,431.7,1,508.4,1032.2,2,12,5,310.8,1.8,397.4,722.3,13,5,2,535.2,8.7,506.7,693.8,3,4,7,512.2,10.3,645.6,841.2,4,1,7,368.6,7,510.1,682.7,2,3,8,332,1,494.2,938.7,0,5,5,223.8,0.8,289.2,477.7,6,4,9,557.1,7.2,545.3,690.5
1,1,0,1,1,1,0,9,2,1,2,0,0,1,0,0,0,0,0,5,12,2,530,6.2,487.1,548.5,7,15,2,454,7.1,537.5,572.9,9,12,4,431.7,1,508.4,1032.2,2,12,5,310.8,1.8,397.4,722.3,13,5,2,535.2,8.7,506.7,693.8,3,4,7,512.2,10.3,645.6,841.2,4,1,7,368.6,7,510.1,682.7,2,3,8,332,1,494.2,938.7,0,5,5,223.8,0.8,289.2,477.7,6,4,9,557.1,7.2,545.3,690.5
1,1,0,1,1,1,1,10,2,1,4,0,1,2,0,0,0,0,0,1,9,3,380.2,6.3,498.4,345.3,7,7,3,563.6,9.1,659,746.5,6,12,4,435.5,0.8,533.1,1319.7,2,10,6,337.2,0.7,357.7,445.3,13,5,4,594.5,9.4,534.5,730,7,6,4,536,6.6,453.9,682.6,4,10,4,365.5,6.5,450,1055,7,4,6,400.9,0,350.5,651.2,0,7,9,247.2,1.7,397.1,603.2,2,3,6,309.6,6.9,490.1,431.4
2,2,0,2,2,2,2,4,0,0,0,0,0,10,3,2,5,0,2,16,5,9,639.1,5.2,499.7,1589.9,5,6,8,263.5,5.4,386.2,740.6,1,16,14,304.4,0.7,412.4,972.6,2,11,13,307.4,1.3,315.2,844.9,13,9,10,500.9,6.4,435.7,1014.5,3,16,10,362.6,4.9,410.6,1024.7,17,13,4,678.3,6.9,704.3,862,21,15,10,673.8,2.3,551.4,1236.1,6,30,5,425.3,0.7,447.3,711.4,7,9,8,450,3.6,486.1,584.4
1,1,0,0,1,1,1,4,0,1,1,0,1,1,0,0,1,0,0,0,3,3,369.2,7.9,493.8,635.4,4,6,5,336.5,5.3,430.2,888.4,14,9,3,622.3,2.7,518.4,833,1,13,4,333.7,1.9,373.9,587.3,13,8,1,667.7,7.9,609.5,675.9,4,6,2,353.2,6,514.6,966.1,5,2,6,514.1,7.1,582.7,685,3,2,6,365.4,0.7,390.6,961,4,3,9,444.9,1.4,373,802.8,0,5,9,312,5.9,451.9,682.5
1,2,0,1,1,1,1,9,1,1,3,0,1,2,0,0,1,0,0,6,11,5,365,6.3,422.4,637.3,12,11,4,461.3,6,431.1,753.6,13,15,4,368.7,1.7,373.3,881.4,1,26,2,257.7,1.1,313.7,634.2,13,14,4,425.3,8.2,478.2,415.8,6,2,7,517.7,7.8,572.7,664.4,7,3,8,566,9.5,655,848,5,3,11,360.2,1,384.3,835.7,0,7,9,230.3,1.8,306.1,512.3,1,3,10,322.3,6.2,303.3,582.8
1,1,2,1,2,1,2,7,1,1,4,0,0,6,0,1,0,0,1,1,9,5,332,8.7,473.9,670.5,2,9,4,358.3,6,409.3,660.4,15,9,7,497.8,1,479.6,1155.3,0,24,5,252.6,0.8,291.8,261.4,13,10,5,428.7,6.2,449.6,480.1,5,8,4,442.6,7.4,504.6,702.2,5,8,6,450.2,8.2,487.9,412.1,10,6,7,464.6,0.5,489.6,977.3,2,15,5,243.8,1.1,279.4,303.9,4,5,9,314.9,4.5,348.9,839.6
